idspecies,ideunis,habitat,level,belongsto,notes
"5","A2","Littoral sediment","2","A",
"5","E5","Woodland fringes and clearings and tall forb stands","2","E",
"5","G3","Coniferous woodland","2","G","Conifer_woodland"
"5","X20","Treeline ecotones","2","X",
"5","X9","Pasture woods (with a tree layer overlying pasture)","2","X",
"6","A2","Littoral sediment","2","A",
"6","A5","Sublittoral sediment","2","A",
"6","G1","Broadleaved deciduous woodland","2","G","I2_Gardens;Broadleaved_woodland"
"6","G2","Broadleaved evergreen woodland","2","G","I2_Gardens;Broadleaved_woodland"
"6","I2","Cultivated areas of gardens and parks","2","I","I2_Gardens;Broadleaved_woodland"
"6","X14","Land sparsely wooded with broadleaved evergreen trees","2","X",
"6","X20","Treeline ecotones","2","X",
"7","E1","Dry grasslands","2","E","I2_Gardens;Tracksides;Moorland"
"7","I2","Cultivated areas of gardens and parks","2","I","I2_Gardens;Tracksides;Moorland"
"7","X","Miscellaneous","1",,"I2_Gardens;Tracksides;Moorland"
"7","X9","Pasture woods (with a tree layer overlying pasture)","2","X",
"8","11","Brackish pelagic","2","AA",""
"8","A","Marine habitats","1",,""
"8","A2","Littoral sediment","2","A",
"8","A5","Sublittoral sediment","2","A",
"8","A7","Pelagic water column","2","A",""
"8","D","Mire, bog and fen habitats","1",,
"8","E1","Dry grasslands","2","E","Walls;Tracksides;Rocks;Moorland;Conifer_woodland;Broadleaved_woodland"
"8","G4","Mixed deciduous and coniferous woodland","2","G","Walls;Tracksides;Rocks;Moorland;Conifer_woodland;Broadleaved_woodland"
"8","H3","Inland cliffs, rock pavements and outcrops","2","H","Walls;Tracksides;Rocks;Moorland;Conifer_woodland;Broadleaved_woodland"
"8","I2","Cultivated areas of gardens and parks","2","I",
"8","J1","Buildings of cities, towns and villages","2","J","Walls;Tracksides;Rocks;Moorland;Conifer_woodland;Broadleaved_woodland"
"8","J4","Transport networks and other constructed hard-surfaced areas","2","J","Walls;Tracksides;Rocks;Moorland;Conifer_woodland;Broadleaved_woodland"
"8","X20","Treeline ecotones","2","X",
"8","X3","Brackish coastal lagoons","2","AA",""
"8","X9","Pasture woods (with a tree layer overlying pasture)","2","X",
"15","11","Brackish pelagic","2","AA",""
"15","C","Inland surface water habitats","1",,
"15","C1","Surface standing waters","2","C","Freshwater_pools;Freshwater_littoral"
"15","C2","Surface running waters","2","C",""
"15","C3","Littoral zone of inland surface waterbodies","2","C","Freshwater_pools;Freshwater_littoral"
"15","X3","Brackish coastal lagoons","2","AA",""
"16","C","Inland surface water habitats","1",,
"16","C1","Surface standing waters","2","C","Freshwater_pools;Freshwater_littoral"
"16","C2","Surface running waters","2","C",
"16","C3","Littoral zone of inland surface waterbodies","2","C","Freshwater_pools;Freshwater_littoral"
"18","A5","Sublittoral sediment","2","A",
"18","C","Inland surface water habitats","1",,
"18","C3","Littoral zone of inland surface waterbodies","2","C","Freshwater_littoral;Moorland"
"18","D","Mire, bog and fen habitats","1",,
"18","E1","Dry grasslands","2","E","Freshwater_littoral;Moorland"
"18","E3","Seasonally wet and wet grasslands","2","E",""
"19","A","Marine habitats","1",,""
"36","A2","Littoral sediment","2","A",
"36","E5","Woodland fringes and clearings and tall forb stands","2","E",
"36","G","Woodland and forest habitats and other wooded land","1",,"I2_Gardens;Tracksides;Conifer_woodland;Broadleaved_woodland"
"36","G3","Coniferous woodland","2","G",
"36","H3","Inland cliffs, rock pavements and outcrops","2","H",
"36","I2","Cultivated areas of gardens and parks","2","I","I2_Gardens;Tracksides;Conifer_woodland;Broadleaved_woodland"
"36","J4","Transport networks and other constructed hard-surfaced areas","2","J","I2_Gardens;Tracksides;Conifer_woodland;Broadleaved_woodland"
"36","X14","Land sparsely wooded with broadleaved evergreen trees","2","X",
"43","A5","Sublittoral sediment","2","A",
"43","H3","Inland cliffs, rock pavements and outcrops","2","H",
"43","J6","Waste deposits","2","J","Waste_ground"
"43","X8","Rural mosaics, consisting of woods, hedges, pastures and crops","2","X",
"46","A5","Sublittoral sediment","2","A",
"46","C","Inland surface water habitats","1",,
"46","C3","Littoral zone of inland surface waterbodies","2","C","I2_Gardens;Freshwater_littoral"
"46","I2","Cultivated areas of gardens and parks","2","I","I2_Gardens;Freshwater_littoral"
"48","A2","Littoral sediment","2","A",
"48","A5","Sublittoral sediment","2","A",
"48","C","Inland surface water habitats","1",,""
"48","C1","Surface standing waters","2","C",""
"48","C3","Littoral zone of inland surface waterbodies","2","C","I1_Arable;I2_Gardens;Tracksides;Freshwater_littoral;Upland_montane"
"48","E4","Alpine and subalpine grasslands","2","E","I1_Arable;I2_Gardens;Tracksides;Freshwater_littoral;Upland_montane"
"48","I1","Arable land and market gardens","2","I","I1_Arable;I2_Gardens;Tracksides;Freshwater_littoral;Upland_montane"
"48","I2","Cultivated areas of gardens and parks","2","I","I1_Arable;I2_Gardens;Tracksides;Freshwater_littoral;Upland_montane"
"48","J4","Transport networks and other constructed hard-surfaced areas","2","J","I1_Arable;I2_Gardens;Tracksides;Freshwater_littoral;Upland_montane"
"48","X7","Intensively-farmed crops interspersed with strips of spontaneous vegetation","2","X",
"54","A2","Littoral sediment","2","A",
"54","A5","Sublittoral sediment","2","A",
"54","B1","Coastal dunes and sandy shores","2","B","Dune;Walls;Moorland;Conifer_woodland"
"54","B3","Rock cliffs, ledges and shores, including the supralittoral ","2","B",
"54","D","Mire, bog and fen habitats","1",,
"54","E","Grassland and tall forb habitats","1",,
"54","E1","Dry grasslands","2","E","Dune;Walls;Moorland;Conifer_woodland"
"54","E5","Woodland fringes and clearings and tall forb stands","2","E",
"54","G3","Coniferous woodland","2","G","Dune;Walls;Moorland;Conifer_woodland"
"54","H3","Inland cliffs, rock pavements and outcrops","2","H",
"54","J","Constructed, industrial and other artificial habitats","1",,"Dune;Walls;Moorland;Conifer_woodland"
"54","J1","Buildings of cities, towns and villages","2","J",
"54","J4","Transport networks and other constructed hard-surfaced areas","2","J",
"54","X14","Land sparsely wooded with broadleaved evergreen trees","2","X",
"65","A","Marine habitats","1",,""
"65","I2","Cultivated areas of gardens and parks","2","I",""
"67","A","Marine habitats","1",,""
"67","F9","Riverine and fen scrubs","2","F",""
"67","G","Woodland and forest habitats and other wooded land","1",,""
"67","I2","Cultivated areas of gardens and parks","2","I",""
"67","J","Constructed, industrial and other artificial habitats","1",,""
"77","A","Marine habitats","1",,""
"77","A1","Littoral rock and other hard substrata","2","A",""
"78","A","Marine habitats","1",,""
"78","I2","Cultivated areas of gardens and parks","2","I","Disturbed areas"
"78","J","Constructed, industrial and other artificial habitats","1",,"Disturbed areas"
"81","G","Woodland and forest habitats and other wooded land","1",,""
"81","I2","Cultivated areas of gardens and parks","2","I",""
"86","A","Marine habitats","1",,""
"86","I","Regularly or recently cultivated agricultural, horticultural and domestic habitats","1",,""
"86","J","Constructed, industrial and other artificial habitats","1",,""
"87","C3","Littoral zone of inland surface waterbodies","2","C",""
"88","9","Brackish sublittoral soft","2","AA",""
"88","C","Inland surface water habitats","1",,""
"88","G","Woodland and forest habitats and other wooded land","1",,"forest in open sites, near streams, and in mountain gullies from sea level to 1400 m or higher"
"90","G4","Mixed deciduous and coniferous woodland","2","G","ancient anthropogenic woodlands"
"91","I2","Cultivated areas of gardens and parks","2","I",""
"94","D2","Valley mires, poor fens and transition mires","2","D",""
"95","C","Inland surface water habitats","1",,""
"95","C3","Littoral zone of inland surface waterbodies","2","C",""
"107","C","Inland surface water habitats","1",,"weedy fern of river flats, distrubed forest, forest margins, rough pasture, willow car and urban situations. Prefers damp ground and/or semi-shade to heavy shade."
"107","G","Woodland and forest habitats and other wooded land","1",,"weedy fern of river flats, distrubed forest, forest margins, rough pasture, willow car and urban situations. Prefers damp ground and/or semi-shade to heavy shade."
"107","I","Regularly or recently cultivated agricultural, horticultural and domestic habitats","1",,""
"107","J","Constructed, industrial and other artificial habitats","1",,""
"108","J1","Buildings of cities, towns and villages","2","J",""
"119","A","Marine habitats","1",,""
"119","I2","Cultivated areas of gardens and parks","2","I","Disturbed areas"
"119","J","Constructed, industrial and other artificial habitats","1",,"Disturbed areas"
"119","X3","Brackish coastal lagoons","2","AA",""
"139","H","Inland unvegetated or sparsely vegetated habitats","1",,""
"141","J","Constructed, industrial and other artificial habitats","1",,"shady places, roadside"
"143","C","Inland surface water habitats","1",,""
"146","G","Woodland and forest habitats and other wooded land","1",,""
"148","I2","Cultivated areas of gardens and parks","2","I",""
"152","K",,,,"Epiphyte"
"157","C1","Surface standing waters","2","C",""
"157","C3","Littoral zone of inland surface waterbodies","2","C",""
"157","D5","Sedge and reedbeds, normally without free-standing water","2","D",""
"157","E5","Woodland fringes and clearings and tall forb stands","2","E",""
"157","F9","Riverine and fen scrubs","2","F",""
"157","G","Woodland and forest habitats and other wooded land","1",,""
"157","G1","Broadleaved deciduous woodland","2","G",""
"157","I2","Cultivated areas of gardens and parks","2","I",""
"170","I2","Cultivated areas of gardens and parks","2","I","Disturbed areas"
"170","J","Constructed, industrial and other artificial habitats","1",,"Disturbed areas"
"173","B3","Rock cliffs, ledges and shores, including the supralittoral ","2","B",""
"173","C","Inland surface water habitats","1",,""
"173","H","Inland unvegetated or sparsely vegetated habitats","1",,""
"173","I","Regularly or recently cultivated agricultural, horticultural and domestic habitats","1",,""
"173","J","Constructed, industrial and other artificial habitats","1",,""
"173","J4","Transport networks and other constructed hard-surfaced areas","2","J",""
"188","C","Inland surface water habitats","1",,""
"193","A","Marine habitats","1",,""
"193","A7","Pelagic water column","2","A",""
"193","H2","Screes","2","H",""
"227","A","Marine habitats","1",,""
"233","A","Marine habitats","1",,""
"233","C","Inland surface water habitats","1",,""
"234","A","Marine habitats","1",,""
"234","A1","Littoral rock and other hard substrata","2","A",""
